Crop,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Maize,Monsoon,Dhaka,19216.0,14721,2051.4,1828786.72,5956.96,0.615652174
Maize,Monsoon,Chittagong,502797.0,1391132,1266.7,47851190.49,155867.07,2.687777778
Maize,Winter,Chittagong,48844.0,98932,1266.7,4648483.48,15141.64,1.98
Maize,Summer,Chittagong,9730.0,20893,1266.7,926004.1,3016.3,2.165714286
Maize,Monsoon,Rajshahi,17175.0,24878,3818.2,1634544.75,5324.25,1.444285714
Maize,Whole Year,Barisal,35469.0,130390,1852.9,3375584.73,10995.39,2.658461538
Maize,Monsoon,Dhaka,19810.0,13965,2354.4,1957228.0,5744.9,0.608695652
Maize,Monsoon,Chittagong,450472.0,1542607,1260.8,44506633.6,130636.88,3.366
Maize,Winter,Chittagong,49922.0,101605,1260.8,4932293.6,14477.38,1.97952381
Maize,Summer,Chittagong,11974.0,27080,1260.8,1183031.2,3472.46,2.241904762
Maize,Monsoon,Rajshahi,17219.0,25272,6552.7,1701237.2,4993.51,1.457142857
Maize,Monsoon,Barisal,38519.0,121161,2152.5,3805677.2,11170.51,2.634
Maize,Monsoon,Dhaka,19708.0,14056,2201.8,2091610.04,5321.16,0.613913043
Maize,Monsoon,Rajshahi,16637.0,24051,6200.3,1765684.81,4491.99,1.448571429
Maize,Monsoon,Barisal,35129.0,69682,2318.1,3728240.77,9484.83,1.941538462
Maize,Monsoon,Jessore,430544.0,1107165,935.6,42266504.48,111941.44,2.564545455
Maize,Winter,Jessore,97123.0,473602,935.6,9534564.91,25251.98,5.019545455
Maize,Monsoon,Dhaka,20241.0,14616,1965.5,1987058.97,5262.66,0.605652174
Maize,Monsoon,Chittagong,599893.0,1961879,1213.3,58891495.81,155972.18,3.1712
Maize,Winter,Chittagong,57797.0,142674,1213.3,5673931.49,15027.22,2.397368421
Maize,Summer,Chittagong,11165.0,31091,1213.3,1096068.05,2902.9,2.774761905
Maize,Monsoon,Rajshahi,16906.0,24250,6258.8,1659662.02,4395.56,1.437142857
Maize,Monsoon,Barisal,35267.0,88264,1907.7,3462161.39,9169.42,2.568571429
Maize,Monsoon,Jessore,337533.0,986011,928.4,34472245.29,87758.58,2.801818182
Maize,Winter,Jessore,90752.0,470744,928.4,9268501.76,23595.52,5.592857143
Maize,Monsoon,Dhaka,19600.0,13940,1824.7,2001748.0,5096.0,0.608695652
Maize,Monsoon,Chittagong,505574.0,1274858,1002.9,51634272.62,131449.24,2.663333333
Maize,Winter,Chittagong,65189.0,152769,1002.9,6657752.57,16949.14,2.279
Maize,Summer,Chittagong,9272.0,23960,1002.9,946949.36,2410.72,2.6265
Maize,Monsoon,Rajshahi,16866.0,25247,4241.0,1722524.58,4385.16,1.471428571
Maize,Monsoon,Barisal,33288.0,86409,1556.6,3399703.44,8654.88,2.314285714
Maize,Monsoon,Jessore,413659.0,912047,648.1,39161097.53,103414.75,1.491363636
Maize,Winter,Jessore,111990.0,573695,648.1,10602093.3,27997.5,5.602272727
Maize,Monsoon,Dhaka,19812.0,14194,1973.6,1875602.04,4953.0,0.606086957
Maize,Monsoon,Narayanganj,121057.0,191646,315.9,11460466.19,30264.25,1.806956522
Maize,Monsoon,Barisal,27724.0,55300,1629.1,2624631.08,6931.0,1.895384615
Maize,Monsoon,Jessore,557812.0,1671502,826.0,55212231.76,133874.88,2.420909091
Maize,Winter,Jessore,162802.0,805284,826.0,16114141.96,39072.48,5.081818182
Maize,Monsoon,Dhaka,19569.0,14051,2213.7,1936939.62,4696.56,0.607391304
